date,value
2022-11-21,58.333333
2022-11-22,61.382114
2022-11-23,64.024390
2022-11-25,65.040650
2022-11-28,60.365854
2022-11-29,59.959350
2022-11-30,66.869919
2022-12-01,67.276423
2022-12-02,65.853659
2022-12-05,60.772358
2022-12-06,58.943089
2022-12-07,57.926829
2022-12-08,59.552846
2022-12-09,58.130081
2022-12-12,63.008130
2022-12-13,66.056911
2022-12-14,63.211382
2022-12-15,54.471545
2022-12-16,51.422764
2022-12-19,49.186992
2022-12-20,49.796748
2022-12-21,53.658537
2022-12-22,51.829268
2022-12-23,53.658537
2022-12-27,54.471545
2022-12-28,51.016260
2022-12-29,54.878049
2022-12-30,52.235772
2023-01-03,52.235772
2023-01-04,55.487805
2023-01-05,51.829268
2023-01-06,58.739837
2023-01-09,58.943089
2023-01-10,61.788618
2023-01-11,65.447154
2023-01-12,68.292683
2023-01-13,67.073171
2023-01-17,66.666667
2023-01-18,60.365854
2023-01-19,58.943089
2023-01-20,63.617886
2023-01-23,67.073171
2023-01-24,66.463415
2023-01-25,66.869919
2023-01-26,67.886179
2023-01-27,69.308943
2023-01-30,67.479675
2023-01-31,73.577236
2023-02-01,75.000000
2023-02-02,80.081301
2023-02-03,74.593496
2023-02-06,72.357724
2023-02-07,74.796748
2023-02-08,72.154472
2023-02-09,69.715447
2023-02-10,71.951220
2023-02-13,73.373984
2023-02-14,73.577236
2023-02-15,75.000000
2023-02-16,72.357724
2023-02-17,71.951220
2023-02-21,66.260163
2023-02-22,65.447154
2023-02-23,65.853659
2023-02-24,61.585366
2023-02-27,61.382114
2023-02-28,59.552846
2023-03-01,58.130081
2023-03-02,61.178862
2023-03-03,66.869919
2023-03-06,64.837398
2023-03-07,59.552846
2023-03-08,59.959350
2023-03-09,51.626016
2023-03-10,45.934959
2023-03-13,43.495935
2023-03-14,47.967480
2023-03-15,43.089431
2023-03-16,47.560976
2023-03-17,42.073171
2023-03-20,48.983740
2023-03-21,52.235772
2023-03-22,45.934959
2023-03-23,43.902439
2023-03-24,45.325203
2023-03-27,48.170732
2023-03-28,49.593496
2023-03-29,55.691057
2023-03-30,57.317073
2023-03-31,62.195122
2023-04-03,63.211382
2023-04-04,60.772358
2023-04-05,60.569106
2023-04-06,59.959350
2023-04-10,61.178862
2023-04-11,64.430894
2023-04-12,63.211382
2023-04-13,66.056911
2023-04-14,63.414634
2023-04-17,65.243902
