date,value
2022-04-19,45.254237
2022-04-20,46.779661
2022-04-21,40.536723
2022-04-22,32.712391
2022-04-25,32.769318
2022-04-26,23.547659
2022-04-27,24.098083
2022-04-28,29.715252
2022-04-29,21.990414
2022-05-02,22.062553
2022-05-03,24.626655
2022-05-04,34.047351
2022-05-05,23.788050
2022-05-06,21.589628
2022-05-09,15.284828
2022-05-10,13.314528
2022-05-11,11.273957
2022-05-12,12.066535
2022-05-13,16.549197
2022-05-16,16.690161
2022-05-17,23.928974
2022-05-18,16.206313
2022-05-19,15.388952
2022-05-20,14.788732
2022-05-23,17.976895
2022-05-24,16.990702
2022-05-25,21.054115
2022-05-26,27.874859
2022-05-27,36.601860
2022-05-31,34.939420
2022-06-01,32.572556
2022-06-02,41.363764
2022-06-03,38.207946
2022-06-06,39.943662
2022-06-07,44.957746
2022-06-08,40.985915
2022-06-09,33.436620
2022-06-10,24.781752
2022-06-13,13.252673
2022-06-14,13.453420
2022-06-15,16.765120
2022-06-16,10.520394
2022-06-17,12.686357
2022-06-21,16.178953
2022-06-22,17.642093
2022-06-23,21.722003
2022-06-24,30.070323
2022-06-27,31.327334
2022-06-28,26.631046
2022-06-29,24.746907
2022-06-30,24.550056
2022-07-01,30.407876
2022-07-05,32.564679
2022-07-06,32.517581
2022-07-07,38.171589
2022-07-08,38.965420
2022-07-11,34.804611
2022-07-12,34.017430
2022-07-13,33.258364
2022-07-14,30.877390
2022-07-15,38.160855
2022-07-18,37.250492
2022-07-19,51.770658
2022-07-20,58.443383
2022-07-21,61.337454
2022-07-22,56.404494
2022-07-25,57.500000
2022-07-26,52.316765
2022-07-27,61.847277
2022-07-28,65.496912
2022-07-29,68.276249
2022-08-01,67.583497
2022-08-02,67.639630
2022-08-03,71.296296
2022-08-04,69.949495
2022-08-05,70.827489
2022-08-08,73.997195
2022-08-09,69.004208
2022-08-10,76.325386
2022-08-11,78.401122
2022-08-12,81.654979
2022-08-15,81.519910
2022-08-16,81.458626
2022-08-17,78.092567
2022-08-18,79.607293
2022-08-19,74.894811
2022-08-22,67.134044
2022-08-23,67.358385
2022-08-24,68.760516
2022-08-25,72.813901
2022-08-26,60.650224
2022-08-29,55.421687
2022-08-30,48.514574
2022-08-31,44.394619
2022-09-01,39.938341
2022-09-02,36.631166
2022-09-06,33.361368
2022-09-07,41.199552
2022-09-08,43.974215
2022-09-09,51.246848
