date,value
2023-02-07,4.427832
2023-02-08,1.638873
2023-02-09,1.063830
2023-02-10,1.206550
2023-02-13,3.244330
2023-02-14,2.555268
2023-02-15,4.189383
2023-02-16,2.094692
2023-02-17,3.127690
2023-02-21,-0.545194
2023-02-22,-0.344333
2023-02-23,0.602582
2023-02-24,-0.717566
2023-02-27,0.516648
2023-02-28,0.832377
2023-03-01,0.516648
2023-03-02,2.408948
2023-03-03,4.473760
2023-03-06,-0.028678
2023-03-07,-2.036134
2023-03-08,-1.548609
2023-03-09,-6.681962
2023-03-10,-10.180671
2023-03-13,-10.891373
2023-03-14,-5.504587
2023-03-15,-7.396789
2023-03-16,-3.669725
2023-03-17,-9.810671
2023-03-20,-5.477488
2023-03-21,-0.315457
2023-03-22,-6.825351
2023-03-23,-8.751793
2023-03-24,-2.725968
2023-03-27,-0.860585
2023-03-28,-2.467011
2023-03-29,-0.200803
2023-03-30,-2.037303
2023-03-31,1.606426
2023-04-03,0.802522
2023-04-04,-4.184580
2023-04-05,-5.184761
2023-04-06,-1.891117
2023-04-10,-0.716332
2023-04-11,-0.315277
2023-04-12,-2.694182
2023-04-13,1.232445
2023-04-14,-2.722063
2023-04-17,1.203094
2023-04-18,-0.658837
2023-04-19,0.114580
2023-04-20,-0.716332
2023-04-21,-2.091691
2023-04-24,-2.062446
2023-04-25,-9.054441
2023-04-26,-6.993408
2023-04-27,-1.145803
2023-04-28,0.887998
2023-05-01,-0.802062
2023-05-02,-8.307075
2023-05-03,-5.557147
2023-05-04,-9.137783
2023-05-05,1.088202
2023-05-08,-0.887489
2023-05-09,-2.318924
2023-05-10,-1.746350
2023-05-11,-5.095906
2023-05-12,-4.122531
2023-05-15,-0.629651
2023-05-16,-4.864092
2023-05-17,1.516452
2023-05-18,2.689557
2023-05-19,0.314645
2023-05-22,1.630435
2023-05-23,0.200172
2023-05-24,-1.572777
2023-05-25,-2.516443
2023-05-26,0.514874
2023-05-30,-0.915332
2023-05-31,-2.860412
2023-06-01,-0.257437
2023-06-02,3.546911
2023-06-05,0.943666
2023-06-06,4.203603
2023-06-07,4.689734
2023-06-08,2.859594
2023-06-09,1.629969
2023-06-12,3.687822
2023-06-13,5.574614
2023-06-14,2.229846
2023-06-15,4.400000
2023-06-16,2.457143
2023-06-20,1.257143
2023-06-21,1.428571
2023-06-22,0.228571
2023-06-23,-2.571429
2023-06-26,-1.456727
2023-06-27,1.970865
2023-06-28,1.399200
2023-06-29,4.882924
2023-06-30,6.137596
2023-07-03,4.167856
2023-07-05,1.141878
2023-07-06,-1.256066
2023-07-07,0.827862
2023-07-10,3.738584
2023-07-11,5.450913
2023-07-12,6.706621
2023-07-13,6.735160
2023-07-14,2.739726
2023-07-17,5.677603
2023-07-18,7.988588
2023-07-19,5.647461
2023-07-20,2.452938
2023-07-21,1.540217
2023-07-24,2.252638
2023-07-25,2.594810
2023-07-26,4.020530
2023-07-27,0.199601
2023-07-28,4.017094
2023-07-31,5.612536
2023-08-01,3.675214
2023-08-02,0.484330
2023-08-03,1.196581
2023-08-04,1.139601
2023-08-07,2.762746
2023-08-08,0.170891
2023-08-09,-1.195900
2023-08-10,-1.110478
2023-08-11,0.113863
2023-08-14,-1.138304
2023-08-15,-3.783784
2023-08-16,-5.177809
2023-08-17,-4.893314
2023-08-18,-2.986348
2023-08-21,-3.213879
2023-08-22,-3.555176
2023-08-23,-0.938567
2023-08-24,-4.351536
2023-08-25,-2.133106
2023-08-28,-0.853242
2023-08-29,1.706485
2023-08-30,2.133106
2023-08-31,0.881182
2023-09-01,3.069054
2023-09-05,-1.789773
2023-09-06,-2.897727
2023-09-07,-4.318182
2023-09-08,-3.806818
2023-09-11,-2.245594
2023-09-12,-1.961899
2023-09-13,-4.122832
2023-09-14,-0.113733
2023-09-15,-2.672732
2023-09-18,-4.179699
2023-09-19,-4.009099
2023-09-20,-5.373898
2023-09-21,-8.248009
2023-09-22,-7.849829
2023-09-25,-6.742532
2023-09-26,-8.790896
2023-09-27,-5.887372
2023-09-28,-3.271693
2023-09-29,-2.987198
2023-10-02,-8.871197
2023-10-03,-11.995452
2023-10-04,-7.449531
2023-10-05,-7.906712
2023-10-06,-4.065965
2023-10-09,-4.576464
2023-10-10,-0.369528
2023-10-11,-3.213879
2023-10-12,-8.221906
2023-10-13,-7.768924
2023-10-16,-1.763869
2023-10-17,-0.512237
2023-10-18,-5.919180
2023-10-19,-9.277177
2023-10-20,-10.452862
2023-10-23,-14.135081
2023-10-24,-8.124287
2023-10-25,-13.772455
2023-10-26,-9.469481
2023-10-27,-14.717627
2023-10-30,-7.358813
2023-10-31,-4.138128
2023-11-01,-5.679224
2023-11-02,-0.599315
2023-11-03,1.797945
2023-11-06,-0.684932
